category,questions,alpha_0_accuracy,alpha_1_accuracy,alpha_2_accuracy,alpha_1_delta,alpha_2_delta
adversarial,30,66.66666666666666,70.0,80.0,3.333333333333343,13.333333333333343
ambiguous,30,40.0,56.666666666666664,73.33333333333333,16.666666666666664,33.33333333333333
false_premise,30,0.0,3.3333333333333335,6.666666666666667,3.3333333333333335,6.666666666666667
future_prediction,30,46.666666666666664,66.66666666666666,80.0,19.999999999999993,33.333333333333336
unanswerable,30,10.0,13.333333333333334,60.0,3.333333333333334,50.0
